geo_code,year,naics,jobs
3502001,2016,52,60.0
3502001,2016,53,25.0
3502001,2016,54,60.0
3502001,2016,55,0.0
3502001,2016,56,70.0
3502001,2016,61,145.0
3502001,2016,62,155.0
3502001,2016,71,45.0
3502001,2016,72,60.0
3502001,2016,81,70.0
3502001,2016,91,45.0
3502008,2016,11,35.0
3502008,2016,21,10.0
3502008,2016,22,0.0
3502008,2016,23,270.0
3502008,2016,31-33,645.0
3502008,2016,41,95.0
3502008,2016,44-45,795.0
3502008,2016,48-49,155.0
3502008,2016,51,50.0
3502008,2016,52,65.0
3502008,2016,53,30.0
3502008,2016,54,150.0
3502008,2016,55,0.0
3502008,2016,56,150.0
3502008,2016,61,300.0
3502008,2016,62,580.0
3502008,2016,71,45.0
3502008,2016,72,385.0
3502008,2016,81,225.0
3502008,2016,91,180.0
3502010,2016,11,220.0
3502010,2016,21,10.0
3502010,2016,22,25.0
3502010,2016,23,305.0
3502010,2016,31-33,670.0
3502010,2016,41,170.0
3502010,2016,44-45,580.0
3502010,2016,48-49,245.0
3502010,2016,51,50.0
3502010,2016,52,120.0
3502010,2016,53,70.0
3502010,2016,54,150.0
3502010,2016,55,10.0
3502010,2016,56,125.0
3502010,2016,61,455.0
3502010,2016,62,575.0
3502010,2016,71,40.0
3502010,2016,72,235.0
3502010,2016,81,195.0
3502010,2016,91,260.0
3502023,2016,11,280.0
3502023,2016,21,25.0
3502023,2016,22,0.0
3502023,2016,23,820.0
3502023,2016,31-33,315.0
3502023,2016,41,140.0
3502023,2016,44-45,505.0
3502023,2016,48-49,265.0
3502023,2016,51,20.0
3502023,2016,52,135.0
3502023,2016,53,40.0
3502023,2016,54,220.0
3502023,2016,55,0.0
3502023,2016,56,200.0
3502023,2016,61,360.0
3502023,2016,62,655.0
3502023,2016,71,105.0
3502023,2016,72,220.0
3502023,2016,81,210.0
3502023,2016,91,540.0
3502025,2016,11,500.0
3502025,2016,21,15.0
3502025,2016,22,35.0
3502025,2016,23,905.0
3502025,2016,31-33,455.0
3502025,2016,41,205.0
3502025,2016,44-45,740.0
3502025,2016,48-49,410.0
3502025,2016,51,90.0
3502025,2016,52,225.0
3502025,2016,53,100.0
3502025,2016,54,325.0
3502025,2016,55,0.0
